Mean RR (ms),SDNN (ms),Min RR (ms),Max RR (ms),Mean HR (bpm),STD HR (bpm),Min HR (bpm),Max HR (bpm),RMSSD (ms),NN50 count,pNN50 (%),LF power (ms^2),HF power (ms^2),Total Power (ms^2),SD1 (ms),SD2 (ms),SD1/SD2,Four_Label,Happy,Sad,Anger,Neutral
163.6551724137931,7.28851653261043,148.0,178.0,367.35611700576254,16.456695700698845,337.07865168539325,405.4054054054054,6.338656910463874,0.0,0.0,0.0,0.0,0.0,4.481466938220938,9.282316552127694,0.4827961762620232,HVLA,Moderate,VeryLow,VeryLow,VeryHigh
163.6551724137931,7.28851653261043,148.0,178.0,367.35611700576254,16.456695700698845,337.07865168539325,405.4054054054054,6.338656910463874,0.0,0.0,0.0,0.0,0.0,4.481466938220938,9.282316552127694,0.4827961762620232,LVLA,VeryLow,High,VeryHigh,VeryLow
165.13793103448276,8.076035806017165,150.0,183.0,364.197598731863,17.719014895760836,327.8688524590164,400.0,6.141195788629908,0.0,0.0,0.0,0.0,0.0,4.331894057158944,10.567847583954537,0.4099126168072468,HVHA,Moderate,Moderate,Low,Moderate
178.55555555555554,9.174575712596896,166.0,193.0,336.91490847936205,17.239536831608127,310.88082901554407,361.4457831325301,6.148796004722575,0.0,0.0,0.0,0.0,0.0,4.294364684949018,12.243533434634315,0.3507455350104395,HVLA,Moderate,Moderate,VeryLow,Low
170.82142857142858,5.650875857704155,162.0,183.0,351.6189869549764,11.343771691278622,327.8688524590164,370.3703703703704,6.003085626328933,0.0,0.0,0.0,0.0,0.0,4.244095389952062,6.771443733750949,0.6267637385507896,LVHA,VeryLow,VeryLow,High,VeryLow
191.2,10.537551897855591,172.0,208.0,314.767972322828,17.45019922411165,288.46153846153845,348.8372093023256,9.387491677759291,0.0,0.0,0.0,0.0,0.0,6.623230895869478,13.349637167354024,0.4961356486951053,LVLA,VeryLow,VeryLow,VeryHigh,VeryLow
183.24,14.356266924239046,157.0,239.0,329.23644359113547,23.256415043574773,251.0460251046025,382.1656050955414,22.29162772582269,2.0,8.333333333333334,0.0,0.0,0.0,15.762120556715852,12.796888510710543,1.231715080077748,LVLA,VeryLow,VeryHigh,VeryLow,VeryLow
203.69565217391303,9.71522687693506,188.0,218.0,295.23317228371167,14.186099361453364,275.22935779816515,319.1489361702128,9.501196096951544,0.0,0.0,0.0,0.0,0.0,6.718052649760844,11.984950360167709,0.5605407154700003,HVLA,VeryHigh,VeryLow,VeryLow,VeryLow
210.7391304347826,6.8411630800131205,197.0,221.0,285.0180825211227,9.42704704356966,271.49321266968326,304.56852791878174,9.830379628293286,0.0,0.0,0.0,0.0,0.0,6.950830855860102,6.729708388027846,1.032857659661098,LVLA,VeryLow,VeryHigh,Low,VeryLow
180.0,9.384930637832284,168.0,200.0,334.2114532840969,16.864278858136217,300.0,357.1428571428572,9.282241108697834,0.0,0.0,0.0,0.0,0.0,6.561341326283826,11.537012011515207,0.568721027570647,HVHA,VeryHigh,VeryLow,VeryLow,VeryLow
212.7391304347826,18.44903058912958,178.0,238.0,284.28053746555213,25.962955315556837,252.10084033613447,337.07865168539325,17.03739203260661,0.0,0.0,0.0,0.0,0.0,11.997589289533568,23.16875720872717,0.517834823052759,HVHA,VeryHigh,VeryLow,VeryLow,VeryLow
230.8095238095238,18.71749639246163,197.0,266.0,261.6740224184157,21.27260217354736,225.5639097744361,304.56852791878174,22.89650628371062,1.0,5.0,0.0,0.0,0.0,16.16210846393502,20.96367316105716,0.7709578536054602,LVHA,VeryLow,Moderate,High,VeryLow
